animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
23001,Manga Jinbutsushi,TV,Unknown,365,G - All Ages,6.54,28,11722,12652,155,0,Summer 1970,None,[]
23003,Tanoshii Bunmeishi: Tetsu Monogatari,Movie,Original,1,G - All Ages,5.5,10,12941,12783,149,0,None,Toei Animation,"['Historical', 'Slice of Life']"
23005,Mogura no Motoro,Movie,Unknown,1,G - All Ages,8.0,10,11866,13127,132,0,None,Toei Animation,['Slice of Life']
23007,Ookami Shounen Ken (Movie),Movie,Unknown,1,G - All Ages,5.2,15,12200,12871,147,0,None,Toei Animation,"['Adventure', 'Kids']"
23009,Ookami Shounen Ken: Arabia no Kaijin - Ma no Iwa no Kettou,Movie,Unknown,1,G - All Ages,5.19,16,12201,12698,154,0,None,Toei Animation,"['Adventure', 'Kids']"
23011,Otoko Doahou! Koushien,TV,Unknown,156,G - All Ages,7.05,19,12237,12093,188,0,Fall 1970,None,[]
23013,Norakuro,TV,Manga,26,G - All Ages,5.52,23,12079,11969,198,0,Fall 1970,Eiken,['Comedy']
23015,Hazedon,TV,Unknown,26,PG - Children,5.85,13,10926,13232,126,0,Fall 1972,Sunrise,"['Kids', 'Adventure', 'Comedy']"
23023,Peaceful Times (F02) Petit Film,Music,Unknown,1,G - All Ages,4.92,1167,9639,6674,2587,1,None,Khara,['Music']
23029,Popful Mail,Music,Game,1,PG-13 - Teens 13 or older,5.82,137,8118,11374,253,0,None,Studio Fantasia,"['Comedy', 'Fantasy', 'Music']"
23037,Bakumatsu Rock,TV,Game,12,PG-13 - Teens 13 or older,6.13,7326,7228,2678,22378,44,Summer 2014,Studio Deen,"['Action', 'Music', 'Comedy', 'Historical', 'Shoujo']"
23043,Re Boot,Music,Unknown,1,G - All Ages,7.13,1362,3144,6809,2430,5,None,None,[]
23057,Yukidoke,Movie,Original,1,PG-13 - Teens 13 or older,4.08,1013,10001,7460,1815,3,None,None,[]
23059,Shinsatsushitsu,Movie,Original,1,PG-13 - Teens 13 or older,4.39,462,9942,8862,926,0,None,None,[]
23079,Glasslip,TV,Original,13,PG-13 - Teens 13 or older,5.53,56493,8737,780,120481,193,Summer 2014,P.A. Works,"['Romance', 'Slice of Life', 'Supernatural']"
23121,Jinsei,TV,Light novel,13,PG-13 - Teens 13 or older,6.55,17848,5544,1605,51022,59,Summer 2014,feel.,"['Comedy', 'School', 'Slice of Life']"
23133,M3: Sono Kuroki Hagane,TV,Original,24,R - 17+ (violence & profanity),6.68,13777,4965,1721,46389,78,Spring 2014,Satelight,"['Action', 'Sci-Fi', 'Mystery', 'Psychological', 'Drama', 'Mecha']"
23135,PriPara,TV,Game,140,PG - Children,7.62,1832,1317,3615,12015,240,Summer 2014,Tatsunoko Production,"['Music', 'Slice of Life', 'School', 'Shoujo']"
23137,Girls & Panzer Heartful Tank Disc Picture Drama,Special,Original,4,PG-13 - Teens 13 or older,6.69,760,4903,5891,3616,2,None,Actas,"['Military', 'School']"
23189,Dekobou Shingachou: Meian no Shippai,Movie,Original,1,G - All Ages,6.29,70,6625,11101,289,1,None,None,[]
23209,Sora no Method,TV,Original,13,PG-13 - Teens 13 or older,6.79,21798,4462,1337,66967,200,Fall 2014,Studio 3Hz,"['Slice of Life', 'Drama', 'Fantasy', 'School']"
