animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
37002,Uchi no Oochopus,TV,Picture book,0,G - All Ages,4.67,3,13132,13726,102,0,Winter 2018,None,[]
37005,Yaoguai Mingdan 2 Special,Special,Other,1,G - All Ages,6.81,101,4381,9469,671,0,None,Haoliners Animation League,"['Harem', 'Comedy', 'Demons', 'Romance', 'Fantasy', 'Shounen']"
37007,Hinomaruzumou,TV,Manga,24,PG-13 - Teens 13 or older,7.46,5096,1791,2381,27562,70,Fall 2018,Gonzo,"['Martial Arts', 'Shounen', 'Sports']"
37008,Tsukipro The Animation 2nd Season,TV,Music,0,PG-13 - Teens 13 or older,0.0,0,0,7590,1710,8,None,None,[]
37009,Watashi wa Buranko,Music,Unknown,1,G - All Ages,5.25,12,13242,14723,48,0,None,None,[]
37010,Boku to Sakana no Monogatari,Music,Unknown,1,G - All Ages,4.47,17,10300,14673,50,0,None,None,[]
37011,Negaigoto no Mochigusare,Music,Unknown,1,G - All Ages,5.75,20,11986,14595,56,0,None,None,[]
37012,Animegatari x Shingeki no Kyojin Collab Eizou,Movie,Original,1,G - All Ages,6.32,105,6504,5478,4523,8,None,None,[]
37013,Sex: Prologue,OVA,Manga,1,PG-13 - Teens 13 or older,5.4,5,12589,8461,1133,0,None,MAPPA,"['Action', 'Drama', 'School', 'Seinen']"
37015,Digimon Special Drama,Special,Original,1,G - All Ages,0.0,0,0,0,0,0,None,None,[]
37017,Kensaku to Enjin no ABC Days,ONA,Original,26,G - All Ages,5.47,19,11375,14398,68,0,None,None,[]
37018,Season's Greetings 2017 from Dwarf,ONA,Original,1,G - All Ages,5.04,23,12561,14454,65,0,None,dwarf,[]
37019,Komaneko: Hajime no Ippo,Special,Original,1,G - All Ages,5.94,35,11508,13037,136,1,None,dwarf,['Comedy']
37020,Woo to Wah,ONA,Original,0,G - All Ages,3.25,4,13265,14125,83,0,None,dwarf,['Comedy']
37021,Iya na Kao sare nagara Opantsu Misete Moraitai,ONA,Other,6,PG-13 - Teens 13 or older,5.8,7078,8159,2169,32379,141,None,UWAN Pictures,['Ecchi']
37023,Layton Mystery Tanteisha: Katri no Nazotoki File,TV,Game,50,PG - Children,7.05,1394,3443,3987,9581,27,Spring 2018,LIDENFILMS,"['Comedy', 'Kids', 'Mystery']"
37024,Momoya Norihei Anime CM,Special,Original,0,G - All Ages,3.0,8,11876,13941,92,0,None,None,[]
37026,Koukaku no Pandora: Pandoradio,Special,Manga,6,PG-13 - Teens 13 or older,5.85,80,8033,8853,935,0,None,Studio Gokumi,"['Sci-Fi', 'Comedy']"
37027,Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,Movie,Original,1,PG-13 - Teens 13 or older,0.0,0,0,3764,10849,45,None,Sunrise,"['Music', 'Slice of Life', 'School']"
37028,Panpaka Pants x Lala-chan,Special,Original,4,G - All Ages,4.3,20,12281,13641,106,0,None,None,[]
37029,Hoozuki no Reitetsu 2nd Season: Sono Ni,TV,Manga,13,PG-13 - Teens 13 or older,7.81,4265,873,3532,12721,17,Spring 2018,Studio Deen,"['Comedy', 'Demons', 'Fantasy', 'Seinen', 'Supernatural']"
