animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
9001,Je T'aime,OVA,Unknown,1,R - 17+ (violence & profanity),6.67,2519,5006,5217,4886,12,None,Production I.G,['Sci-Fi']
9002,True Tears: Raigomaru to Jibeta no Monogatari,Special,Original,1,PG - Children,6.25,2704,6812,4786,6065,2,None,P.A. Works,['Kids']
9005,To Heart 2 Adnext,OVA,Unknown,2,PG-13 - Teens 13 or older,6.85,1232,4198,6009,3448,3,None,None,[]
9006,Rei Zero,OVA,Visual novel,2,Rx - Hentai,6.24,737,0,6799,2444,9,None,None,[]
9007,Sore Ike! Anpanman: Black Nose to Mahou no Uta,Movie,Unknown,1,PG - Children,6.0,43,12764,11979,197,0,None,TMS Entertainment,"['Comedy', 'Fantasy', 'Kids']"
9008,Netorare Fighter Yaricchingu!,OVA,Original,3,Rx - Hentai,6.3,925,0,6434,2875,15,None,None,[]
9009,Otome Juurin Yuugi: Maiden Infringement Play,OVA,Visual novel,2,Rx - Hentai,6.42,1027,0,5866,3649,11,None,None,[]
9013,Kuruneko 2nd Season,TV,Manga,50,G - All Ages,7.24,251,2674,8876,914,1,Summer 2010,Studio Deen,"['Comedy', 'Slice of Life']"
9014,Kuttsukiboshi,OVA,Original,2,R+ - Mild Nudity,6.3,14795,6604,2304,29171,95,None,Primastea,"['Romance', 'Supernatural', 'Drama', 'Shoujo Ai']"
9015,O-bake no... Holly,TV,Unknown,200,G - All Ages,6.25,75,6797,11057,295,1,Winter 1991,None,[]
9023,Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,Special,Unknown,3,G - All Ages,7.51,6230,1631,3392,14049,61,None,Artland,['Comedy']
9028,Edokko Boy: Gatten Tasuke,TV,Manga,22,G - All Ages,6.18,39,10610,11161,282,0,Fall 1990,Studio Pierrot,"['Comedy', 'Martial Arts', 'Police', 'Sports']"
9032,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,Movie,Unknown,1,G - All Ages,7.46,6782,1793,3698,11404,31,None,OLM,"['Shounen', 'Sports', 'Super Power']"
9035,Lupin the Third x Monkey Majik,Music,Unknown,1,PG-13 - Teens 13 or older,6.43,822,6040,7180,2051,4,None,None,[]
9040,Mokei Senshi Gunpla Builders Beginning G,Special,Unknown,3,G - All Ages,6.75,2013,4653,5748,3845,2,None,Sunrise,"['Action', 'Mecha', 'Sci-Fi', 'Shounen']"
9041,IS: Infinite Stratos,TV,Light novel,12,PG-13 - Teens 13 or older,7.01,210277,3600,175,363238,2039,Winter 2011,8bit,"['Action', 'Sci-Fi', 'Harem', 'Comedy', 'Ecchi', 'Mecha']"
9043,Majuu Sensen,OVA,Unknown,3,R - 17+ (violence & profanity),6.03,89,7566,9779,564,0,None,None,[]
9045,Jack to Mame no Ki (OVA),OVA,Unknown,1,PG - Children,5.97,400,7726,9005,859,0,None,Studio 4°C,"['Adventure', 'Kids', 'Fantasy']"
9047,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desukara,OVA,Manga,1,PG-13 - Teens 13 or older,7.53,24641,1587,1740,45753,27,None,J.C.Staff,"['Action', 'Sci-Fi', 'Super Power']"
9053,Ice Movie,Movie,Unknown,1,R - 17+ (violence & profanity),5.6,301,8600,8716,1001,3,None,PPM,"['Action', 'Sci-Fi', 'Military']"
9055,Tamayura,OVA,Original,4,G - All Ages,7.19,11259,2897,2283,29593,94,None,Hal Film Maker,"['Slice of Life', 'Comedy', 'Drama']"
9056,Agitated Screams of Maggots,Music,Unknown,1,R+ - Mild Nudity,4.32,2683,9963,5547,4179,10,None,None,[]
9061,RPG Densetsu Hepoi,TV,Unknown,50,None,6.88,34,12480,11134,286,2,Fall 1990,Studio Gallop,"['Adventure', 'Fantasy']"
9062,Angel Beats! Specials,Special,Original,2,PG-13 - Teens 13 or older,7.73,108664,1030,487,180444,327,None,P.A. Works,"['Action', 'Comedy', 'Supernatural', 'School']"
9063,Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,OVA,Manga,1,PG-13 - Teens 13 or older,6.9,13708,4000,2355,28060,20,None,J.C.Staff,"['Comedy', 'Ecchi']"
