animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
36001,Alice or Alice: Siscon Niisan to Futago no Imouto,TV,4-koma manga,12,PG-13 - Teens 13 or older,5.43,7084,8935,2681,22366,29,Spring 2018,EMT²,"['Seinen', 'Slice of Life']"
36002,Otona no Ikkyuu-san 2nd Season,TV,Other,13,PG-13 - Teens 13 or older,5.0,8,12242,13662,105,0,Spring 2017,None,[]
36003,Kimoshiba 2,TV,Original,13,G - All Ages,5.71,7,11435,14247,76,0,Spring 2017,Jinnis Animation Studios,"['Comedy', 'Kids']"
36005,Mainichi JK Kikaku Episode 0,Special,Other,1,None,0.0,0,0,8739,991,2,None,None,[]
36006,Mainichi JK Kikaku,TV,Other,0,None,0.0,0,0,6441,2866,1,None,None,[]
36009,Two Car,TV,Original,12,PG-13 - Teens 13 or older,5.69,4459,8434,3213,15621,12,Fall 2017,Silver Link.,['Sports']
36010,Heartful Maman The Animation,OVA,Visual novel,1,Rx - Hentai,6.66,1193,0,6330,2999,9,None,G-Lam,['Hentai']
36015,Shaolin Chuanqi,TV,Unknown,26,None,0.0,0,0,0,0,0,None,None,[]
36016,Cogimyun,ONA,Other,24,G - All Ages,4.13,8,10490,14461,64,0,None,None,[]
36018,Dia Horizon,ONA,Original,3,G - All Ages,3.85,40,10542,10548,384,0,None,Fanworks,"['Game', 'Parody']"
36021,Joleobban,Movie,Unknown,1,R+ - Mild Nudity,5.39,33,11202,11177,280,0,None,None,[]
36022,Cardfight!! Vanguard G: Z,TV,Original,24,PG-13 - Teens 13 or older,6.64,803,5123,6530,2764,10,Fall 2017,OLM,"['Action', 'Game', 'Shounen']"
36023,Persona 5 the Animation,TV,Game,26,R - 17+ (violence & profanity),6.77,19839,4556,872,108522,386,Spring 2018,CloverWorks,"['Action', 'Supernatural', 'Fantasy']"
36027,Ousama Game The Animation,TV,Novel,12,R - 17+ (violence & profanity),5.17,49403,9370,810,116378,203,Fall 2017,Seven,"['Dementia', 'Supernatural', 'School', 'Drama', 'Horror', 'Mystery']"
36028,Golden Kamuy,TV,Manga,12,R - 17+ (violence & profanity),7.73,33113,1040,1025,90156,309,Spring 2018,Geno Studio,"['Action', 'Adventure', 'Historical', 'Seinen']"
36029,Hakyuu Houshin Engi,TV,Manga,23,PG-13 - Teens 13 or older,5.71,2014,8370,3350,14413,15,Winter 2018,C-Station,"['Adventure', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']"
