animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
3001,Moyashimon,TV,Manga,11,PG-13 - Teens 13 or older,7.64,22795,1261,1556,54192,232,Fall 2007,Telecom Animation Film,"['Comedy', 'Supernatural', 'School', 'Seinen']"
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,Manga,26,R - 17+ (violence & profanity),8.32,77615,215,552,163074,5329,Fall 2007,Madhouse,"['Game', 'Psychological', 'Seinen', 'Thriller']"
3003,Yumedamaya Kidan,Special,Original,1,PG - Children,6.63,1224,5205,6973,2251,2,None,Production I.G,"['Drama', 'Fantasy']"
3004,Saint Beast: Ikusen no Hiru to Yoru-hen,OVA,Unknown,2,PG-13 - Teens 13 or older,6.33,1075,6493,6268,3079,7,None,Madhouse,"['Magic', 'Fantasy']"
3005,Shadow Skill,OVA,Unknown,1,R - 17+ (violence & profanity),6.69,1479,4924,5696,3919,6,None,Zero-G Room,"['Adventure', 'Drama', 'Fantasy', 'Shounen']"
3006,Atashin'chi,TV,Manga,330,G - All Ages,7.38,641,2120,7055,2172,22,Spring 2002,Shin-Ei Animation,"['Comedy', 'Slice of Life']"
3007,Bronze: Kouji Nanjo Cathexis,OVA,Manga,1,PG-13 - Teens 13 or older,6.4,1733,6155,5843,3691,11,None,Madhouse,"['Music', 'Shounen Ai']"
3008,Time Bokan Series: Yatterman,TV,Unknown,108,G - All Ages,6.75,1561,4662,5938,3533,17,Winter 1977,Tatsunoko Production,"['Adventure', 'Comedy', 'Mecha']"
3009,Tiger Mask,TV,Manga,105,PG-13 - Teens 13 or older,7.34,2306,2313,4871,5837,44,Fall 1969,Toei Animation,"['Action', 'Drama', 'Shounen', 'Sports']"
3010,Kaiketsu Zorro,TV,Other,52,PG-13 - Teens 13 or older,7.3,3625,2446,4552,6854,45,Spring 1996,Ashi Production,"['Adventure', 'Historical', 'Shounen']"
3011,Yotsunoha,OVA,Visual novel,2,PG-13 - Teens 13 or older,6.43,4751,6063,3985,9588,12,None,Hal Film Maker,"['Romance', 'School']"
3012,Gekitou! Crush Gear Turbo,TV,Unknown,68,G - All Ages,6.88,2090,4064,5734,3871,28,Fall 2001,Sunrise,"['Sports', 'Shounen']"
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,Novel,1,PG-13 - Teens 13 or older,8.02,12699,535,2728,21756,38,None,Artland,"['Action', 'Military', 'Sci-Fi', 'Space']"
3015,Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,Movie,Novel,1,PG-13 - Teens 13 or older,6.3,4017,6593,4082,9002,8,None,Magic Bus,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Shounen', 'Space']"
3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Movie,Novel,1,PG-13 - Teens 13 or older,8.16,9261,355,2988,18081,38,None,Magic Bus,"['Action', 'Space', 'Military', 'Drama', 'Sci-Fi']"
3019,Lupin III: Kiri no Elusive,Special,Manga,1,PG-13 - Teens 13 or older,6.96,1447,3772,5932,3542,0,None,TMS Entertainment,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']"
3020,Gu-Gu Ganmo,TV,Manga,50,G - All Ages,6.2,102,6982,10320,430,1,Spring 1984,Toei Animation,"['Comedy', 'School', 'Shounen', 'Slice of Life']"
3021,Yume Senshi Wingman,TV,Manga,47,R+ - Mild Nudity,6.72,257,4799,8010,1398,4,Winter 1984,Toei Animation,"['Action', 'Comedy', 'Super Power', 'Romance', 'School']"
3022,Haai Step Jun,TV,Manga,45,PG-13 - Teens 13 or older,6.39,166,6205,9669,595,2,Spring 1985,Toei Animation,"['Action', 'Romance', 'School', 'Sci-Fi']"
3023,Esper Mami,TV,Manga,119,PG-13 - Teens 13 or older,6.67,156,4995,8673,1019,4,Spring 1987,Shin-Ei Animation,"['Comedy', 'Ecchi', 'Magic', 'School', 'Super Power', 'Supernatural']"
3024,Ribbon no Kishi,TV,Manga,52,PG-13 - Teens 13 or older,6.76,585,4604,6754,2496,7,Spring 1967,Mushi Production,"['Action', 'Mystery', 'Romance', 'Fantasy', 'Shoujo']"
3025,Dragon Slayer Eiyuu Densetsu: Ouji no Tabidachi,OVA,Game,2,R - 17+ (violence & profanity),5.62,335,8559,8678,1015,0,None,None,[]
3026,Compiler,OVA,Unknown,2,R+ - Mild Nudity,5.32,550,9127,7943,1442,0,None,Studio Fantasia,"['Sci-Fi', 'Comedy', 'Drama', 'Romance']"
3027,Hokuto no Ken: Yuria-den,OVA,Unknown,1,R - 17+ (violence & profanity),7.16,2387,3006,5079,5222,8,None,TMS Entertainment,"['Action', 'Adventure', 'Drama', 'Martial Arts']"
3028,Cluster Edge Specials,Special,Unknown,3,PG-13 - Teens 13 or older,6.68,209,4947,8591,1066,3,None,None,[]
3031,Digimon Frontier: Ornismon Fukkatsu!!,Movie,Original,1,PG - Children,6.97,7239,3720,3324,14713,10,None,Toei Animation,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']"
3032,Digimon Tamers: Boukensha-tachi no Tatakai,Movie,Original,1,PG - Children,7.07,7864,3341,3229,15508,8,None,Toei Animation,"['Adventure', 'Drama', 'Sci-Fi', 'Shounen']"
3033,Digimon Tamers: Bousou Digimon Tokkyuu,Movie,Original,1,PG - Children,7.13,9154,3122,3039,17443,9,None,Toei Animation,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen']"
3034,Kurai Mirai,OVA,Visual novel,2,Rx - Hentai,5.9,862,0,6751,2502,10,None,Studio Jam,['Hentai']
3035,Chouon Senshi Borgman,TV,Other,35,PG-13 - Teens 13 or older,6.51,240,5704,7829,1517,4,Spring 1988,Production Reed,"['Action', 'Sci-Fi', 'Demons']"
3036,Tobe! Isami,TV,Original,50,PG-13 - Teens 13 or older,7.3,397,2470,8210,1277,7,Spring 1995,Group TAC,"['Action', 'Adventure', 'Comedy', 'Romance', 'Shounen']"
