animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
5002,Bari Bari Densetsu,OVA,Manga,2,PG-13 - Teens 13 or older,6.55,120,5537,9631,608,2,None,Studio Pierrot,"['Action', 'Drama', 'Shounen', 'Sports']"
5005,Tentai Senshi Sunred,TV,Manga,26,PG-13 - Teens 13 or older,7.91,4827,686,3152,16178,188,Fall 2008,AIC A.S.T.A.,"['Comedy', 'Parody', 'Super Power', 'Seinen']"
5006,Nagagutsu Sanjuushi,Movie,Unknown,1,G - All Ages,6.31,363,6562,9309,733,1,None,Toei Animation,"['Kids', 'Adventure', 'Fantasy']"
5013,Juugo Shounen Hyouryuuki,Special,Novel,1,G - All Ages,6.23,123,6867,10395,414,0,None,Toei Animation,"['Adventure', 'Historical', 'Drama']"
5014,Sango Shou Densetsu: Aoi Umi no Elfie,Movie,Unknown,1,G - All Ages,7.15,320,3069,9054,833,0,None,Nippon Animation,"['Adventure', 'Sci-Fi']"
5016,Fluximation,Music,Unknown,14,G - All Ages,6.57,1405,5453,6543,2746,1,None,Studio 4°C,['Music']
5017,Yume no Kakera,Music,Unknown,1,PG-13 - Teens 13 or older,5.1,503,9463,8918,895,0,None,Studio 4°C,['Music']
5018,Piroppo,TV,Other,23,None,5.63,62,8548,10640,364,0,Fall 2001,Studio 4°C,['Comedy']
5019,Lupin III: Sweet Lost Night - Mahou no Lamp wa Akumu no Yokan,Special,Unknown,1,PG-13 - Teens 13 or older,7.16,1315,3015,6201,3151,0,None,TMS Entertainment,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']"
5020,Zettai Shougeki: Platonic Heart,OVA,Original,5,R+ - Mild Nudity,4.74,5785,9790,3503,12966,23,None,Arms,"['Action', 'Ecchi', 'Martial Arts']"
5022,Toushi Gordian,TV,Original,73,G - All Ages,6.54,124,5620,10041,493,0,Fall 1979,Tatsunoko Production,"['Action', 'Mecha', 'Sci-Fi']"
5023,Ninpuu Kamui Gaiden,TV,Manga,26,R - 17+ (violence & profanity),6.97,145,3743,8660,1026,6,Spring 1969,Tele-Cartoon Japan,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Samurai']"
