animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
7004,Shin Calimero,TV,Unknown,52,G - All Ages,6.25,634,6805,8084,1354,0,Fall 1992,Toei Animation,['Comedy']
7014,Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,Movie,Manga,1,R - 17+ (violence & profanity),7.06,2131,3418,4703,6351,15,None,Toei Animation,"['Drama', 'Historical', 'Military', 'Supernatural']"
7016,Senjou no Valkyria: SenVal Theater,Special,Game,9,PG-13 - Teens 13 or older,6.85,4064,4194,3999,9513,7,None,A-1 Pictures,['Comedy']
7017,K-On!: Ura-On!,Special,Original,7,G - All Ages,6.38,23481,6246,1811,43322,60,None,Kyoto Animation,['Comedy']
7020,Fashion,Movie,Unknown,1,G - All Ages,4.31,189,9966,10335,429,2,None,None,[]
7021,Ni-hiki no Sanma,Movie,Original,1,G - All Ages,5.05,267,9518,10112,474,0,None,None,[]
7022,G-senjou no Higeki,Movie,Original,1,PG-13 - Teens 13 or older,3.53,452,10050,9171,784,0,None,None,[]
7024,Heya,Movie,Original,1,R+ - Mild Nudity,4.01,661,10009,8523,1092,0,None,None,[]
7025,Kiseichuu no Ichiya,Movie,Original,1,R - 17+ (violence & profanity),5.01,794,9561,7843,1511,9,None,None,[]
7026,Mado,Movie,Original,1,G - All Ages,4.64,363,9853,9583,624,0,None,None,[]
7027,Manga,Movie,Original,1,G - All Ages,4.62,371,9865,9513,652,1,None,None,[]
7028,Pop,Movie,Original,1,G - All Ages,3.56,442,10046,9257,752,1,None,None,[]
7029,Tonari no Yarou,Movie,Original,1,G - All Ages,4.52,372,9905,9435,678,0,None,None,[]
7030,Kemeko no Love,Movie,Original,1,PG - Children,4.37,562,9950,8785,965,0,None,None,[]
7031,Satsujinkyou Jidai,Movie,Unknown,1,PG-13 - Teens 13 or older,4.73,476,9793,9069,824,0,None,None,[]
7032,Kitte no Gensou,Movie,Original,1,G - All Ages,4.92,313,9636,9747,572,0,None,None,[]
7041,Seto no Hanayome OVA Specials,Special,Manga,2,PG-13 - Teens 13 or older,7.56,3548,1488,4107,8836,2,None,Gonzo,"['Comedy', 'Parody', 'School']"
7044,Zan Sayonara Zetsubou Sensei Bangaichi,OVA,Manga,2,R - 17+ (violence & profanity),7.87,11767,773,2353,28123,28,None,Shaft,"['Comedy', 'Parody', 'School', 'Shounen']"
7045,Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,Movie,Unknown,1,PG - Children,7.5,1855,1650,6279,3074,3,None,Shin-Ei Animation,"['Adventure', 'Comedy', 'Fantasy', 'Historical', 'Kids', 'Shounen']"
7048,Crush Gear Nitro,TV,Unknown,50,PG-13 - Teens 13 or older,6.4,363,6159,8867,918,2,Winter 2003,Sunrise,"['Cars', 'Shounen', 'Sports']"
7052,Shinshuu Sudama-hen,OVA,Unknown,4,R+ - Mild Nudity,6.2,49,12665,10517,389,0,None,None,[]
7053,Fault!!,OVA,Visual novel,3,Rx - Hentai,7.18,6436,0,3286,15025,133,None,T-Rex,['Hentai']
7054,Kaichou wa Maid-sama!,TV,Manga,26,PG-13 - Teens 13 or older,8.19,333741,328,75,567856,15156,Spring 2010,J.C.Staff,"['Comedy', 'Romance', 'School', 'Shoujo']"
7058,Uragiri wa Boku no Namae wo Shitteiru,TV,Manga,24,R - 17+ (violence & profanity),7.38,26015,2154,1319,68183,927,Spring 2010,J.C.Staff,"['Adventure', 'Drama', 'Fantasy', 'Shoujo', 'Shounen Ai']"
7059,Black★Rock Shooter (OVA),OVA,Other,1,PG-13 - Teens 13 or older,7.2,93159,2833,616,148130,865,None,Ordet,"['Action', 'Slice of Life', 'Drama', 'School']"
