animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
38001,Shinya! Tensai Bakabon Specials,Special,Manga,12,G - All Ages,6.4,5,12667,12780,150,0,None,Pierrot Plus,"['Slice of Life', 'Comedy']"
38002,Asobi Asobase Specials,Special,Manga,2,None,7.48,197,1712,4534,6925,3,None,Lerche,['Comedy']
38003,Bungou Stray Dogs 3rd Season,TV,Manga,0,R - 17+ (violence & profanity),0.0,0,0,2263,30041,36,None,Bones,"['Action', 'Mystery', 'Super Power', 'Supernatural', 'Seinen']"
38004,World Witches Series: 501-butai Hasshin Shimasu!,TV,Manga,0,PG-13 - Teens 13 or older,0.0,0,0,6666,2597,4,Spring 2019,None,[]
38005,Strike Witches: Road to Berlin,TV,Original,0,PG-13 - Teens 13 or older,0.0,0,0,7045,2187,1,None,David Production,"['Action', 'Ecchi', 'Magic', 'Military', 'Sci-Fi']"
38006,Luminous Witches,TV,Original,0,None,0.0,0,0,6644,2620,1,None,None,[]
38007,Dot Bit Retro: Boku Dake no Kusogee,ONA,Original,0,G - All Ages,6.67,3,10583,14716,48,0,None,Asura Film,"['Slice of Life', 'Comedy', 'Fantasy']"
38009,Re:Stage!,Unknown,Other,0,None,0.0,0,0,12382,170,0,None,Yumeta Company,"['Music', 'Slice of Life', 'School', 'Shoujo']"
38010,Kaeru Ouji to Imomushi Henry,TV,Other,0,G - All Ages,4.54,13,11238,12979,139,0,Summer 2018,None,[]
38011,Hello WeGo!,TV,Original,0,None,0.0,0,0,13755,100,0,Spring 2019,Wit Studio,[]
38012,Space Attendant Aoi,Movie,Original,1,None,0.0,0,0,14260,76,0,None,None,[]
38013,Chuck Shimezou,Movie,Original,1,None,0.0,0,0,14289,74,0,None,Nippon Animation,[]
38014,Captain Bar,Movie,Original,1,None,0.0,0,0,14266,75,0,None,None,[]
38015,Shika no Ou,Unknown,Novel,0,None,0.0,0,0,11494,239,0,None,None,[]
38016,Zannen na Ikimono Jiten,TV,Picture book,10,PG - Children,5.33,15,13416,13649,107,0,Summer 2018,NHK Enterprises,"['Comedy', 'Slice of Life']"
38017,Yuukai Anna,Movie,Original,1,R - 17+ (violence & profanity),5.42,12,13406,11335,257,0,None,Studio Deen,"['Action', 'Adventure', 'Romance', 'Seinen']"
38018,Chokkan × Algorhythm♪ 2nd Season,ONA,Original,0,G - All Ages,5.6,5,10446,12114,187,2,None,W-Toon Studio,"['Comedy', 'Music']"
38019,"15-sai, Kyou kara Dousei Hajimemasu.",ONA,Other,0,PG-13 - Teens 13 or older,6.2,10,10102,10897,324,1,None,None,[]
38020,Beatless Final Stage,TV,Novel,4,PG-13 - Teens 13 or older,6.85,4564,4171,3493,13076,24,Summer 2018,Diomedea,"['Action', 'Sci-Fi', 'Drama', 'Romance']"
38021,Monster Strike the Movie: Sora no Kanata,Movie,Game,1,None,6.29,14,11885,7961,1444,3,None,Orange,"['Action', 'Fantasy', 'Game']"
38022,Monster Strike The Animation,ONA,Game,0,PG - Children,6.82,175,4314,8489,1112,1,None,Anima,"['Action', 'Fantasy', 'Game']"
38023,Lipton #watashitolipton,ONA,Original,3,G - All Ages,4.93,30,11628,13760,100,0,None,None,[]
38024,Monster Strike The Animation Episode 0,ONA,Game,1,PG - Children,5.94,162,7801,10103,478,0,None,None,[]
38025,Himitsukessha Taka no Tsume GG,ONA,Original,0,G - All Ages,4.5,8,10999,13418,117,0,None,None,[]
38027,Free!: Dive to the Future Episode 0,Special,Original,1,PG-13 - Teens 13 or older,7.37,424,2163,7534,1775,0,None,Kyoto Animation,"['School', 'Slice of Life', 'Sports']"
38028,Green Dakara x Mirai no Mirai,ONA,Original,2,G - All Ages,5.19,168,9333,9478,668,0,None,None,[]
38029,Moom: Hajimari no Monogatari,Special,Picture book,1,G - All Ages,4.91,11,11887,14785,45,0,None,None,[]
38030,Muchi Muchi Kyousei Seichouchuu!!!,ONA,Original,0,Rx - Hentai,7.03,388,0,8208,1279,9,None,SELFISH,['Hentai']
38031,Kansen Sodom,OVA,Web manga,0,Rx - Hentai,6.02,232,0,8871,918,2,None,None,[]
38032,Tinderbox,OVA,Manga,0,Rx - Hentai,6.18,236,0,8923,896,3,None,None,[]
38033,Soikano: Gyutto Dakishimete - The Animation,OVA,Visual novel,0,Rx - Hentai,7.05,276,0,8661,1027,1,None,None,[]
38034,Tiny Evil,OVA,Manga,0,Rx - Hentai,6.92,459,0,7798,1547,11,None,None,[]
38035,Nuresuke JK Ameyadori Rape,ONA,Original,0,Rx - Hentai,6.7,272,0,9099,814,1,None,SELFISH,['Hentai']
38036,Hasan de Ageru,OVA,Manga,0,Rx - Hentai,6.07,236,0,8886,909,0,None,None,[]
38039,Kyonyuu JK ga Ojisan Chinpo to Jupo Jupo Iyarashii Sex Shitemasu.,OVA,Original,2,Rx - Hentai,6.66,388,0,8414,1180,11,None,T-Rex,['Hentai']
38040,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,Movie,Light novel,0,PG-13 - Teens 13 or older,0.0,0,0,2120,33462,58,None,J.C.Staff,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'Supernatural']"
38042,Graduation,Music,Original,1,G - All Ages,3.07,27,10831,14858,40,0,None,None,[]
38043,Haru Yasumi no Yoru,Music,Original,1,G - All Ages,4.43,30,10908,14777,46,0,None,None,[]
38044,Bouken no Susume,Music,Original,1,G - All Ages,3.74,27,10320,14772,45,0,None,None,[]
38046,Kyoukaisenjou no Horizon Special,Special,Light novel,1,PG-13 - Teens 13 or older,0.0,0,0,6736,2516,2,None,None,[]
