animeID,name,type,source,episodes,rating,score,scoredBy,rank,popularity,members,favorites,premiered,studio,genre
35002,Aware! Meisaku-kun: Meiji Saite Oishii Mozzarella,Special,Original,1,G - All Ages,3.82,28,10236,13101,133,0,None,Pie in the sky,"['Comedy', 'Parody']"
35003,Tanoshii Saki Uta Animation,ONA,Original,1,G - All Ages,4.78,46,12944,13436,117,0,None,None,[]
35004,T-sensei,ONA,Manga,0,G - All Ages,7.17,12,12893,9944,519,0,None,None,[]
35006,Happy Party Train,Music,Music,1,G - All Ages,7.69,2419,1126,5128,5094,15,None,Sunrise,['Music']
35007,Kamigami no Ki: Xmas Special,ONA,Original,1,PG - Children,5.71,28,11290,13361,120,0,None,Sotsu,"['Comedy', 'Historical', 'Supernatural']"
35008,Midori no Kuni no Otomodachi: Koeda-chan,ONA,Other,0,G - All Ages,5.33,6,11797,13181,129,0,None,A-Line,"['Magic', 'Fantasy', 'Shoujo']"
35009,Berserk Recap,Special,Manga,1,R - 17+ (violence & profanity),6.14,2824,7199,4614,6653,9,None,Millepensee,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']"
35011,Yankee Hamster,ONA,Original,0,PG-13 - Teens 13 or older,6.48,50,5860,11803,212,3,None,Piso Studio,['Comedy']
35015,Ani ni Tsukeru Kusuri wa Nai!,TV,Web manga,12,PG - Children,7.42,10984,1942,2492,25509,97,Spring 2017,Fanworks,"['Slice of Life', 'Comedy', 'School']"
35018,Osomatsu-san: Haru no Zenkoku Dai Senbatsu Jouei-sai - Sentou Quiz 2,Movie,Manga,1,R - 17+ (violence & profanity),5.73,40,12231,9151,798,1,None,Studio Pierrot,"['Comedy', 'Parody']"
35019,Osomatsu-san Short Episode,Movie,Manga,1,R - 17+ (violence & profanity),0.0,0,0,0,0,0,None,None,[]
35022,Yuuki Aru Hotaru to Tobe Nai Hotaru,OVA,Original,1,G - All Ages,6.75,8,13408,14522,61,0,None,None,[]
35023,Jun ga Kureta Inochi,OVA,Original,1,G - All Ages,5.0,5,11209,14780,45,0,None,None,[]
